Reaction_Type,Sentiment,Score,Content_Type,Category,Content ID,Datetime
heart,positive,60,photo,studying,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-11 14:29:59
heart,positive,60,photo,studying,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-06-16 03:02:28
heart,positive,60,photo,studying,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-12-25 00:09:41
heart,positive,60,photo,studying,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-06-21 16:57:09
heart,positive,60,photo,studying,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-05-14 12:47:27
heart,positive,60,photo,studying,356fff80-da4d-4785-9f43-bc1261031dc6,2020-10-27 05:45:15
heart,positive,60,photo,studying,356fff80-da4d-4785-9f43-bc1261031dc6,2021-05-07 09:16:35
heart,positive,60,photo,studying,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-04-28 15:22:49
heart,positive,60,photo,studying,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-12-23 04:11:42
heart,positive,60,photo,studying,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-06 05:23:29
heart,positive,60,photo,studying,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-07-11 05:51:54
heart,positive,60,photo,studying,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-19 16:23:19
heart,positive,60,photo,studying,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-11-02 20:15:03
heart,positive,60,photo,studying,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2021-02-19 16:29:59
heart,positive,60,photo,studying,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-09-07 14:42:05
heart,positive,60,photo,studying,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-09-30 14:05:52
heart,positive,60,photo,studying,b18cb63f-4c8e-44ee-a47f-541e95191d11,2020-11-12 23:55:59
heart,positive,60,photo,studying,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-08-04 03:09:30
heart,positive,60,photo,studying,5118e9c5-1377-4cc5-a486-65b35b7b7b76,2020-10-12 09:40:05
heart,positive,60,photo,studying,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-11-06 02:36:08
heart,positive,60,photo,studying,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2021-01-11 06:02:02
heart,positive,60,photo,studying,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-10-15 01:29:34
heart,positive,60,photo,studying,0be59876-d70c-486c-8e0b-a06bef7a2cd6,2020-11-09 08:23:03
heart,positive,60,photo,studying,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-11-04 14:58:21
heart,positive,60,photo,studying,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-12-24 22:31:22
heart,positive,60,photo,studying,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2021-06-15 12:15:12
heart,positive,60,photo,studying,81abd65a-3b76-4574-a0a7-db6bf7184ae2,2020-08-12 23:43:02
heart,positive,60,photo,studying,a2e93b29-9259-4092-a4d7-62d5e823bb74,2021-03-08 00:05:02
heart,positive,60,photo,studying,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,2021-03-06 10:03:19
heart,positive,60,photo,studying,baa2db00-81ba-4c34-b17d-dd950bfa133b,2021-05-18 03:47:37
heart,positive,60,photo,studying,f98dde71-ce1d-4f6c-bb05-ae05779d2207,2021-04-23 22:20:34
heart,positive,60,photo,studying,388bd9db-9d10-4f47-87c4-6db46e83bc95,2021-03-25 22:25:36
heart,positive,60,photo,studying,78d0075f-895c-4a15-a35c-a921e2bb2cea,2020-11-17 12:11:43
heart,positive,60,photo,studying,78d0075f-895c-4a15-a35c-a921e2bb2cea,2021-04-05 13:43:23
heart,positive,60,photo,studying,78d0075f-895c-4a15-a35c-a921e2bb2cea,2021-02-01 06:48:53
heart,positive,60,photo,studying,78d0075f-895c-4a15-a35c-a921e2bb2cea,2021-01-08 19:20:26
heart,positive,60,photo,studying,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,2021-02-24 18:34:14
heart,positive,60,photo,studying,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,2020-10-20 15:14:45
heart,positive,60,photo,studying,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,2021-01-25 06:02:00
heart,positive,60,photo,studying,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,2020-12-22 12:17:39
heart,positive,60,photo,studying,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,2020-12-21 21:36:56
heart,positive,60,photo,studying,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,2021-03-12 12:19:22
heart,positive,60,photo,studying,34a3747a-0b77-42f6-ae19-87c38b94b674,2021-03-09 12:10:20
heart,positive,60,photo,studying,34a3747a-0b77-42f6-ae19-87c38b94b674,2020-09-06 17:27:49
heart,positive,60,photo,studying,34a3747a-0b77-42f6-ae19-87c38b94b674,2020-07-20 04:52:58
heart,positive,60,photo,studying,2920dccb-e06f-49fc-8049-b6d4164dfe84,2020-09-30 18:21:57
heart,positive,60,photo,studying,2920dccb-e06f-49fc-8049-b6d4164dfe84,2021-05-07 14:55:36
heart,positive,60,photo,studying,2920dccb-e06f-49fc-8049-b6d4164dfe84,2021-01-11 10:46:58
heart,positive,60,photo,studying,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,2020-12-11 01:37:21
heart,positive,60,photo,studying,74718bbf-e5a3-442f-8ca2-4a3428757fc1,2020-10-18 05:43:21
heart,positive,60,photo,studying,74718bbf-e5a3-442f-8ca2-4a3428757fc1,2021-01-30 03:07:13
heart,positive,60,photo,studying,74718bbf-e5a3-442f-8ca2-4a3428757fc1,2020-09-17 09:32:00
heart,positive,60,photo,studying,74718bbf-e5a3-442f-8ca2-4a3428757fc1,2021-03-17 16:26:07
heart,positive,60,photo,studying,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,2021-01-14 00:16:41
heart,positive,60,photo,studying,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,2021-03-23 19:44:59
heart,positive,60,photo,studying,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,2021-05-30 10:00:23
heart,positive,60,photo,studying,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,2020-07-08 11:52:26
heart,positive,60,photo,studying,457301ee-3e87-40d8-8b82-ea4e1fa90e39,2020-10-17 04:55:11
heart,positive,60,photo,studying,457301ee-3e87-40d8-8b82-ea4e1fa90e39,2021-03-26 14:57:37
heart,positive,60,photo,studying,4fa14453-7b29-4302-b51f-9aa23b472c1b,2020-09-07 15:12:42
heart,positive,60,photo,studying,4fa14453-7b29-4302-b51f-9aa23b472c1b,2021-04-24 12:10:33
heart,positive,60,photo,studying,ab4c4756-1c50-4136-bad9-3216e01ffac2,2020-10-30 23:50:22
heart,positive,60,photo,studying,34f73132-fff6-4f01-a5ec-4b4b66461fc7,2021-02-15 16:07:31
heart,positive,60,photo,studying,34f73132-fff6-4f01-a5ec-4b4b66461fc7,2020-12-04 01:31:21
